Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
15/08/2018,78.27,0,52.5,80,100,200,38.94,78.27,2818.37
8/8/2018,87.68,28,75,95,100,200,32.78,87.6,2857.7
1/8/2018,76.36,0,50,77.5,100,200,40.45,76.36,2813.36
25/07/2018,84.96,0,78.75,95,100,200,39.16,84.96,2820.4
18/07/2018,82.01,0,62.5,87.5,100,200,38.82,82.01,2815.62
11/7/2018,88.56,0,72.5,91,100,200,38.47,88.56,2774.02
4/7/2018,76.38,0,53.75,72,99.5,200,46.74,76.38,2713.22
27/06/2018,85.06,0,70,95.13,100,200,39,85.06,2699.63
20/06/2018,89.2,0,80,95.25,100,200,34.5,89.2,2767.32
13/06/2018,103.93,35,85,95.25,100,200,41.63,103.93,2775.63
6/6/2018,91.67,11,70,90,100,200,34.51,91.67,2772.35
30/05/2018,82.24,0,55,75,100,200,39.76,82.24,2724.01
23/05/2018,83.95,-100,70,90,100,200,53.99,83.95,2733.29
16/05/2018,85.43,-100,77.5,93.5,100,200,54.33,85.43,2722.46
9/5/2018,69.82,0,50,62.5,96.5,200,39.55,69.82,2697.79
2/5/2018,52.56,-100,36.25,68,91.25,200,68.15,52.56,2635.67
25/04/2018,64.2,-100,36.25,62.5,91.75,200,63.14,64.2,2639.4
18/04/2018,77.64,0,65,79,100,200,38.98,77.64,2708.64
11/4/2018,65.12,0,45,65,97,200,48.61,65.12,2656.87
4/4/2018,55.57,-100,0,67,96,200,58.83,55.57,2644.69
28/03/2018,49.36,-100,0,63.5,95,200,66.57,49.36,2605
21/03/2018,77.28,-50,50,90,100,200,50.12,77.28,2711.93
14/03/2018,85.35,0,67.5,90,100,200,34.69,85.35,2749.48
7/3/2018,72.05,-100,50,84,100,200,53.35,72.05,2726.8
28/02/2018,81,0,64,84.5,100,200,34.54,81,2713.83
21/02/2018,62.69,-100,50,85,95.5,100,50.17,62.69,2701.33
14/02/2018,65.43,-100,47,85,98.5,200,55.52,65.43,2698.63
7/2/2018,75.9,0,53.75,82,100,200,44.02,75.9,2681.66
31/01/2018,84.93,-100,74.5,98.75,100,200,53.07,84.93,2823.81
24/01/2018,95.38,0,95,100,100,175,29.33,95.38,2837.54
17/01/2018,86.34,0,80,96.88,100,133,27.71,86.34,2802.56
10-Jan-18,88.88,0,87,95,100,133,25.4,88.88,2748.23
3-Jan-18,90.4,0,89.75,100,100,133.75,25.36,90.4,2713.06
27-Dec-17,96.29,0,87,100,100,200,34.64,96.29,2682.62
20-Dec-17,101.85,55,85,95,100,200,36.62,101.85,2679.25
13-Dec-17,120.56,75,95,100,130,200,44.56,120.56,2662.85
6-Dec-17,89.84,-100,78.5,96.5,100,200,48.44,89.84,2629.57
29-Nov-17,97.34,0,67.5,95,100,200,47.38,97.34,2626.07
22-Nov-17,88.37,0,85,95,100,133.75,27.31,88.37,2599.03
15-Nov-17,78.51,-150,70,100,100,200,68.59,78.51,2578.87
8-Nov-17,87.23,0,80,98,100,160,34.74,87.23,2594.38
1-Nov-17,83.08,-100,61.25,90.5,100,200,57.91,83.08,2579.36
25-Oct-17,91.37,-100,66,100,100,200,64.26,91.37,2557.15
18-Oct-17,95.38,0,85,100,100,175,38.42,95.38,2561.26
11-Oct-17,95.84,0,72.5,100,108.4375,200,47.7,95.84,2550.64
4-Oct-17,109.2,80,88,100,115,175,29.22,109.2,2534.58
27-Sep-17,106.63,85,93,97,105,170,25.85,106.63,2507.04
20-Sep-17,102.04,40,77.5,95.5,100,200,42.84,102.04,2508.24
13-Sep-17,97.13,0,71.75,98.375,100,200,45.25,97.13,2498.37
6-Sep-17,88.66,0,66.5,90,100,200,52.28,88.66,2465.54
30-Aug-17,84.08,0,50,85,100,200,46.31,84.08,2457.59
23-Aug-17,87.93,0,62.5,85,100,190,41.2,87.93,2444.04
16-Aug-17,85.19,0,56.25,88,100,180,35.52,85.19,2468.11
9-Aug-17,83.82,0,60,90,100,200,42.6,83.82,2474.2
2-Aug-17,90.95,0,79,98,100,200,42.98,90.95,2477.57
26-Jul-17,96.39,0,85,100,100,200,50.26,96.39,2477.13
19-Jul-17,85.82,0,80,95,100,200,41.82,85.82,2473.83
12-Jul-17,90.99,0,85,99,100,175,32.99,90.99,2443.25
5-Jul-17,93.36,0,78,98,100,200,38.94,93.36,2429.01
28-Jun-17,97.47,-50,85,100,100,200,51.63,97.47,2440.69
21-Jun-17,92.69,-50,84.5,100,100,200,46.29,92.69,2435.61
14-Jun-17,93.37,0,85,95,100,200,37.4,93.37,2437.92
7-Jun-17,92.1,0,78.75,89,100,200,40.95,92.1,2433.14
31-May-17,95.86,0,74,95,100,200,48.39,95.86,2411.8
24-May-17,97.49,0,83.75,100,100,200,43.07,97.49,2404.39
17-May-17,94.62,-100,82,100,100,200,57,94.62,2357.03
10-May-17,95.2,0,78,95,100,200,45.4,95.2,2399.63
3-May-17,82.31,0,75,96,100,200,43.62,82.31,2388.13
26-Apr-17,88.09,-150,77,100,100,200,59.38,88.09,2387.45
19-Apr-17,74.2,-150,70,97,100,175,59.96,74.2,2338.17
12-Apr-17,82.95,-150,77.5,100,100,200,65.17,82.95,2344.93
5-Apr-17,71.02,-150,52.5,85,100,200,64.78,71.02,2360.16
29-Mar-17,68.28,-150,52.5,85,100,200,64.36,68.28,2358.57
22-Mar-17,68.68,-100,50,82,100,150,49.66,68.68,2348.45
15-Mar-17,80.77,-25,57.5,87.5,100,175,44.97,80.77,2365.45
8-Mar-17,87.09,0,65,99,100,177,33.99,87.09,2362.98
1-Mar-17,102.07,0,95,100,100,200,40.98,102.07,2395.96
22-Feb-17,100.83,0,85,100,100,200,47.31,100.83,2365.38
15-Feb-17,95.89,0,83.75,100,100,200,46.4,95.89,2349.25
8-Feb-17,96.26,0,80.25,100,100,200,37.2,96.26,2294.67
1-Feb-17,94.02,0,80,100,100,200,35.21,94.02,2279.55
25-Jan-17,99.28,0,80,99,100,200,38.13,99.28,2298.37
18-Jan-17,94.09,0,85,100,100,200,37.74,94.09,2271.89
11-Jan-17,89.29,0,69,93.5,100,200,36.19,89.29,2275.32
4-Jan-17,99.43,0,82.5,100,102.5,200,41.37,99.43,2270.75
28-Dec-16,100.6,25,81.25,99,100,200,40.56,100.6,2263.79
21-Dec-16,101.33,30,90,100,100,200,31.32,101.33,2265.18
14-Dec-16,96.23,-50,75.75,99.5,100,200,51.23,96.23,2253.28
7-Dec-16,101.6,0,90,100,100,200,44.57,101.6,2241.35
30-Nov-16,98.02,5,87.5,100,100,200,33.81,98.02,2198.81
23-Nov-16,86.56,5,69,91.75,100,150,31.9,86.56,2204.72
15-Nov-16,83.42,-50,67.5,98.5,100,200,45.03,83.42,2176.94
9-Nov-16,72.96,-150,45,95,100,200,70.25,72.96,2163.26
2-Nov-16,58.08,-150,29,77.5,100,200,81.97,58.08,2097.94
26-Oct-16,66.47,-150,50,90,100,200,73.2,66.47,2139.43
19-Oct-16,63.7,-150,45,90,100,200,79.94,63.7,2144.29
12-Oct-16,86.53,-100,70.5,90,100,200,57.79,86.53,2139.18
5-Oct-16,78.49,-50,65,95,100,200,61.21,78.49,2159.73
28-Sep-16,84.52,-50,69.25,94.25,100,200,48.9,84.52,2171.37
21-Sep-16,79.31,-50,69,93.5,100,185,53.63,79.31,2163.12
14-Sep-16,68.55,-100,37.25,96.75,100,200,74.81,68.55,2125.77
7-Sep-16,90.85,-20,73.2,100,100,200,45.87,90.85,2186.48
31-Aug-16,88.1,-50,71,100,100,200,50.59,88.1,2176.12
24-Aug-16,97.8,0,76,100,100,200,52.85,97.8,2175.44
17-Aug-16,98.79,36.8,77.5,100,100,200,38.35,98.79,2178.15
10-Aug-16,92.86,0,75,95,100,200,44.68,92.86,2181.74
3-Aug-16,93.05,0,70,95,100,200,40.9,93.05,2157.03
27-Jul-16,101.02,0,87.5,100,100,200,38.76,101.02,2169.18
20-Jul-16,92.64,-50,70,98,100,200,47.64,92.64,2173.02
13-Jul-16,96.52,-100,80,100,100,200,55.47,96.52,2152.43
6-Jul-16,65.43,-100,50,72,100,155,59.46,65.43,2099.73
29-Jun-16,74.52,-150,64,80,100,200,61.15,74.52,2070.77
22-Jun-16,69.35,-150,39.9,95,100,200,73.15,69.35,2085.45
15-Jun-16,75.96,-150,50,99,100,200,74.11,75.96,2071.5
8-Jun-16,74.8,-150,60,95,100,200,67.61,74.8,2119.12
1-Jun-16,68.94,-150,53.75,87.5,100,200,58.2,68.94,2099.33
25-May-16,64.67,-150,25.75,77.5,100,200,65.84,64.67,2090.54
18-May-16,60.17,-150,38.05,77.5,100,200,66.03,60.17,2047.63
11-May-16,49.55,-100,7,60,98.75,150,60.33,49.55,2064.46
4-May-16,67.66,-100,33,82.5,100,200,63.56,67.66,2051.12
27-Apr-16,74.19,-50,45.8,87.5,100,200,56.06,74.19,2095.15
20-Apr-16,82.5,-100,57.5,95,100,200,59.27,82.5,2102.4
13-Apr-16,63.97,-100,50,67,100,200,52.27,63.97,2082.42
6-Apr-16,73.21,-50,50,71.25,100,200,44.99,73.21,2066.66
30-Mar-16,67.94,-100,46.25,67.5,100,200,51.17,67.94,2063.95
23-Mar-16,59.59,-100,32.625,62.5,98.75,200,55.94,59.59,2036.71
16-Mar-16,62.72,-50,33.5,62.5,97.5,200,47.47,62.72,2027.22
9-Mar-16,51.01,-50,20.5,50,75,200,49.35,51.01,1989.26
2-Mar-16,54.44,-100,25,50,90,200,56.22,54.44,1986.45
24-Feb-16,31.65,-100,0,34.4,59,200,57.39,31.65,1929.8
17-Feb-16,41.05,-9,0,45,65,150,38.55,41.05,1926.82
10-Feb-16,32.87,-100,0,27.5,50,200,53.13,32.87,1851.86
3-Feb-16,22.41,-50,0,5,49.5,100,31.78,22.41,1912.53
27-Jan-16,42.25,0,0,38,62.75,150,41.41,42.25,1882.85
13-Jan-16,34.5,-150,5,50,69.2,200,64.93,34.5,1890.28
6-Jan-16,50.26,-150,6.25,57.5,83.75,200,66.59,50.26,1990.26
30-Dec-15,47.67,-150,18.75,60,80,200,60.95,47.67,2063.36
23-Dec-15,56.66,-150,47,66,95,200,58.63,56.66,2064.29
16-Dec-15,61.32,-150,28,70,92.5,200,64.68,61.32,2073.07
9-Dec-15,67.92,-36,30,80,100,200,49.78,67.92,2047.62
2-Dec-15,68.12,-50,40.25,75,100,200,53.48,68.12,2079.51
25-Nov-15,70.45,-50,56,74.4,95,150,34.74,70.45,2089.14
18-Nov-15,58.47,-100,48.3,63,95,200,58.42,58.47,2083.58
11-Nov-15,68.58,-50,50,75,97.9,200,53.11,68.58,2075
4-Nov-15,69.16,-100,50,75,99.75,200,51.18,69.16,2102.31
28-Oct-15,56.71,-100,25,50,95,200,57.37,56.71,2090.35
21-Oct-15,35.67,-50,0,33,60,150,45.35,35.67,2018.94
14-Oct-15,44.27,-100,0,27.5,83.75,200,67.17,44.27,1994.24
7-Oct-15,38.3,-50,0,22,70,200,56.83,38.3,1995.83
30-Sep-15,16.39,-150,0,25,38.5,200,58.08,16.39,1920.03
23-Sep-15,21.34,-100,0,19,48.6,150,51.72,21.34,1938.76
16-Sep-15,31.57,-100,0,25,55,150,43.81,31.57,1995.31
9-Sep-15,26.04,-67,0,18,51.25,150,39.81,26.04,1942.04
2-Sep-15,23.85,-100,0,19.5,51.0375,150,45.74,23.85,1913.85
26-Aug-15,28.31,-150,0,27.5,63.75,100,54.44,28.31,1867.61
19-Aug-15,41.48,-150,0,50,80.45,175,56.91,41.48,2079.61
12-Aug-15,48.08,-150,1.5,50,82,200,62.19,48.08,2086.05
5-Aug-15,63.17,-150,48.75,76,100,200,63.08,63.17,2099.84
29-Jul-15,50.75,-150,1.5,64,82.5,200,65.01,50.75,2108.57
22-Jul-15,52.34,-150,16.75,68.5,89.25,200,69.12,52.34,2114.15
15-Jul-15,52.24,-150,50,69,81.23,200,62.88,52.24,2107.4
8-Jul-15,54.99,-150,21.25,62.5,86.5,200,64.15,54.99,2046.68
1-Jul-15,54.84,-150,34.75,63.8,90,200,60.13,54.84,2077.42
24-Jun-15,58.96,-150,42,75,85.35,200,58.05,58.96,2108.58
17-Jun-15,58.64,-150,45,75,89.87,100,51.06,58.64,2100.44
10-Jun-15,68.7,-150,50,86,100,200,58.29,68.7,2105.2
3-Jun-15,71.07,-150,63.65,81,100,200,58.57,71.07,2114.07
27-May-15,65.5,-150,50,80,100,200,59.14,65.5,2123.48
20-May-15,67.61,-150,50,80,100,200,55.76,67.61,2125.85
13-May-15,60.38,-150,50,82.98,97,100,54.76,60.38,2098.48
6-May-15,80.3,-50,63,87,100,200,56.96,80.3,2089.46
29-Apr-15,90.6,0,80,100,100,200,34.27,90.6,2114.76
22-Apr-15,75.88,-200,69.75,90,100,165,59.57,75.88,2107.96
15-Apr-15,86.67,0,77.5,94,100,200,40.54,86.67,2106.63
8-Apr-15,86.73,0,80,95,100,150,28.29,86.73,2081.9
1-Apr-15,75.86,-100,71.25,85,100,200,54.5,75.86,2059.69
25-Mar-15,84.32,0,72.5,90,100,175,30.96,84.32,2061.05
11-Mar-15,65.68,-200,40.25,74.5,98.75,200,67.38,65.68,2044.16
4-Mar-15,92.15,-50,76.25,98.5,100,200,48.21,92.15,2098.53
25-Feb-15,99.23,-50,81,100,107.75,200,45.4,99.23,2113.86
18-Feb-15,87.81,0,73.75,92,100,200,42.56,87.81,2099.68
11-Feb-15,84.05,0,68,93.5,100,200,37.01,84.05,2068.53
4-Feb-15,88.24,0,72.5,95.135,100,200,44.06,88.24,2041.51
