Date,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,Date,Mean/Average
2/29/2020,141,133,127,111,157,114.8,92.1,2/26/2020,30.325
1/31/2020,134,133,121,110,163,114.4,90.5,1/29/2020,78.3875
12/31/2019,137,131,120,106,164,115.5,88.9,12/4/2019,88.2125
11/30/2019,134,131,116,105,156,111.6,87.3,11/6/2019,79.85
10/31/2019,134,134,108,96,160,113.2,84.2,10/9/2019,67.2525
9/30/2019,131,128,109,98,150,108.5,83.4,9/11/2019,68.7725
8/31/2019,127,123,104,93,146,105.3,79.9,8/14/2019,61.1
7/31/2019,131,137,122,106,156,110.7,90.5,7/17/2019,81.4
6/30/2019,131,134,121,104,160,111.9,89.3,6/19/2019,78.4725
5/31/2019,134,135,130,112,151,110.0,93.5,5/22/2019,64.7525
4/30/2019,133,136,115,100,159,112.3,87.4,4/24/2019,84.2675
3/31/2019,138,131,124,102,156,113.3,88.8,3/27/2019,83.97
2/28/2019,124,133,108,99,158,108.5,84.4,2/27/2019,77.22
1/31/2019,127,131,92,97,155,108.8,79.9,1/30/2019,79.8975
12/31/2018,133,129,118,102,169,116.1,87.0,12/5/2018,49.255
11/30/2018,130,129,117,109,161,112.3,88.1,11/7/2018,45.9625
10/31/2018,130,131,123,105,163,113.1,89.3,10/10/2018,58.395
9/30/2018,135,135,123,106,164,115.2,90.5,9/12/2018,87.3325
8/31/2018,133,131,118,101,154,110.3,87.1,8/15/2018,87.01
7/31/2018,133,134,116,101,164,114.4,87.3,7/18/2018,82.7525
6/30/2018,136,128,117,102,166,116.5,86.3,6/20/2018,84.8
5/31/2018,130,129,122,108,160,111.8,89.1,5/23/2018,90.4475
4/30/2018,133,131,113,111,165,114.9,88.4,4/25/2018,68.0025
3/31/2018,142,132,120,105,173,121.2,88.8,3/28/2018,61.9225
2/28/2018,133,133,124,105,166,114.9,90.0,2/28/2018,78.92
1/31/2018,126,131,121,95,160,110.5,86.3,1/31/2018,72.2375
12/31/2017,127,127,119,93,168,113.8,84.3,12/6/2017,102.135
11/30/2017,127,132,123,103,168,113.5,88.9,11/8/2017,87.8625
10/31/2017,135,132,123,110,168,116.5,90.5,10/11/2017,91.4175
9/30/2017,128,133,110,97,162,111.7,84.4,9/13/2017,103.75
8/31/2017,130,134,119,100,158,110.9,87.7,8/16/2017,86.465
7/31/2017,132,122,111,89,163,113.4,80.5,7/19/2017,89.245
6/30/2017,131,132,110,95,161,112.4,83.8,6/21/2017,93.6275
5/31/2017,126,129,119,105,164,111.7,87.7,5/24/2017,94.705
4/30/2017,126,131,113,106,166,112.7,87.0,4/26/2017,90.055
3/31/2017,132,128,116,103,162,113.2,86.5,3/29/2017,74.1125
2/28/2017,128,123,112,112,161,111.5,86.5,2/1/2017,96.75
1/31/2017,124,130,121,112,165,111.3,90.3,1/4/2017,95.5225
12/31/2016,126,131,119,110,164,111.9,89.5,12/7/2016,99.94
11/30/2016,117,126,109,107,162,107.3,85.2,11/9/2016,85.24
10/31/2016,111,127,91,90,157,103.2,76.8,10/12/2016,68.695
9/30/2016,113,126,104,101,158,104.2,82.7,9/14/2016,77.7175
8/31/2016,118,119,97,99,159,107.0,78.7,8/17/2016,93.885
7/31/2016,121,126,91,95,162,109.0,77.8,7/20/2016,94.8925
6/30/2016,124,125,104,102,164,110.8,82.4,6/22/2016,76.455
5/31/2016,123,128,107,106,162,109.9,84.9,5/25/2016,71.0925
4/30/2016,118,121,95,95,158,106.7,77.6,4/27/2016,62.8925
3/31/2016,119,127,100,100,155,105.6,81.5,3/30/2016,71.905
2/29/2016,118,128,97,104,159,106.8,81.9,2/3/2016,31.995
1/31/2016,110,124,107,102,166,106.4,82.7,1/2/2016,42.25
12/31/2015,113,124,103,105,167,108.1,82.7,12/30/2015,43.67
11/30/2015,111,122,106,105,160,104.3,82.9,11/4/2015,66.665
10/31/2015,111,127,101,101,154,102.3,82.1,10/7/2015,43.7375
9/30/2015,111,121,100,93,151,101.2,78.2,9/9/2015,23.835
8/31/2015,120,124,111,100,152,105.1,83.4,8/12/2015,35.43
7/31/2015,116,122,115,101,161,107.2,84.1,7/15/2015,54.625
6/30/2015,119,125,125,104,163,108.9,87.8,6/17/2015,56.8575
5/31/2015,111,123,113,102,150,100.8,84.2,5/20/2015,68.22
4/30/2015,120,124,124,109,158,107.0,88.8,4/22/2015,76.79
3/31/2015,117,122,116,105,155,105.0,85.3,3/25/2015,83.395
2/28/2015,121,126,118,109,156,106.9,88.0,2/18/2015,86.2175
1/31/2015,121,122,132,112,162,109.3,91.0,1/21/2015,88.48
12/31/2014,114,123,116,108,158,104.8,86.4,12/24/2014,86.1725
11/30/2014,108,116,104,100,158,102.7,79.9,11/25/2014,81.7425
10/31/2014,107,124,105,90,147,98.3,79.6,10/29/2014,77.4875
9/30/2014,108,116,99,88,148,98.9,75.4,9/3/2014,68.24
8/31/2014,113,118,88,80,145,99.8,71.3,8/6/2014,59.2725
7/31/2014,106,113,90,84,146,97.4,71.8,7/9/2014,82.1875
6/30/2014,109,111,97,86,141,96.6,73.5,6/11/2014,87.38
5/31/2014,104,109,98,87,141,94.5,73.7,5/14/2014,77.1975
4/30/2014,110,117,101,81,146,98.7,74.7,4/16/2014,77.985
3/31/2014,100,117,88,75,148,95.7,70.0,3/19/2014,89.4
2/28/2014,99,116,93,82,148,95.4,72.7,2/26/2014,83.4125
1/31/2014,104,114,93,77,147,96.8,71.2,1/29/2014,67.78
12/31/2013,100,108,94,86,156,98.6,72.1,12/4/2013,97.1825
11/30/2013,92,106,79,81,136,88.0,66.8,11/6/2013,88.59
10/31/2013,96,107,67,74,136,89.9,62.5,10/9/2013,77.5675
9/30/2013,96,109,86,76,143,92.6,67.8,9/11/2013,70.7075
8/31/2013,102,118,95,82,144,95.2,73.7,8/14/2013,48.4475
7/31/2013,106,113,104,89,149,98.6,76.5,7/17/2013,74.745
6/30/2013,100,115,104,93,143,93.8,77.8,6/19/2013,43.1825
5/31/2013,107,115,100,89,147,98.0,75.8,5/22/2013,68.1725
4/30/2013,96,105,86,80,137,89.9,67.8,4/24/2013,78.4625
3/31/2013,94,109,85,89,140,90.7,70.8,3/27/2013,74.9125
2/28/2013,90,110,87,84,140,89.0,70.2,2/27/2013,84.5825
1/31/2013,85,107,84,75,135,85.0,66.6,1/30/2013,94.8075
12/31/2012,91,102,74,77,134,87.0,63.8,12/5/2012,81.7275
11/30/2012,97,116,97,98,137,90.6,77.7,11/7/2012,61.14
10/31/2012,99,118,96,103,128,88.1,79.0,10/10/2012,67.3675
9/30/2012,89,113,87,95,132,85.7,73.5,9/12/2012,74.99
8/31/2012,90,108,73,78,139,88.7,65.1,8/15/2012,76.4475
7/31/2012,83,108,74,79,130,82.7,65.6,7/18/2012,70.17
6/30/2012,85,110,79,81,125,81.5,67.8,6/20/2012,55.575
5/31/2012,93,113,91,94,132,87.2,74.3,5/23/2012,38.345
4/30/2012,88,110,87,92,126,82.9,72.3,4/25/2012,58.7275
3/31/2012,97,112,79,89,125,86.0,69.8,3/28/2012,59.965
2/29/2012,87,109,82,90,128,83.0,70.3,2/29/2012,67.895
1/31/2012,88,112,82,82,130,84.2,69.1,1/4/2012,50.3275
12/31/2011,77,108,70,75,128,79.6,63.6,12/7/2011,37.6675
11/30/2011,79,106,52,60,120,77.4,54.9,11/9/2011,40.71
10/31/2011,77,102,45,58,115,74.9,51.7,10/12/2011,26.2175
9/30/2011,77,104,39,52,117,75.2,49.4,9/14/2011,13.825
8/31/2011,68,99,40,48,108,68.5,47.6,8/17/2011,24.1125
7/31/2011,77,103,55,64,117,75.7,55.9,7/20/2011,45.82
6/30/2011,84,108,74,77,128,82.0,64.7,6/22/2011,41.395
5/31/2011,83,106,84,88,128,81.9,69.5,5/25/2011,45.1325
4/30/2011,80,102,74,69,133,82.5,61.6,4/27/2011,75.275
3/31/2011,80,103,60,67,133,82.5,57.9,3/30/2011,78.8225
2/28/2011,91,114,85,87,133,86.9,71.6,2/2/2011,80.0675
1/31/2011,85,110,87,80,126,81.8,69.3,1/5/2011,75.6
12/31/2010,80,112,79,78,140,85.3,67.5,12/8/2010,74.9725
11/30/2010,81,109,71,78,131,82.1,64.8,11/11/2010,66.7975
10/31/2010,78,110,67,70,119,76.6,61.9,10/13/2010,66.61
9/30/2010,82,108,61,73,123,79.6,60.9,9/15/2010,60.5675
8/31/2010,82,107,69,75,120,78.3,62.9,8/18/2010,50.265
7/31/2010,74,109,66,73,123,76.5,62.3,7/21/2010,52.3325
6/30/2010,82,116,79,84,139,85.6,69.8,6/23/2010,38.4025
5/31/2010,77,110,83,82,132,81.0,68.8,5/26/2010,33.225
4/30/2010,76,108,80,77,132,81.0,66.5,4/28/2010,58.6425
3/31/2010,77,112,78,82,136,82.4,67.9,3/31/2010,82.0075
2/28/2010,75,109,80,84,136,81.8,68.4,2/3/2010,34.0
1/31/2010,77,110,84,86,133,81.1,70.1,1/6/2010,67.34
12/31/2009,73,116,79,81,128,78.0,68.9,12/9/2009,69.9875
11/30/2009,63,112,70,83,114,68.8,66.5,11/11/2009,71.0075
10/31/2009,69,117,81,76,120,73.7,68.6,10/14/2009,72.9575
9/30/2009,69,115,88,91,120,73.4,73.5,9/16/2009,75.7275
8/31/2009,58,111,69,80,113,66.6,65.0,8/19/2009,51.05
7/31/2009,70,110,69,73,111,70.5,63.2,7/22/2009,48.8375
6/30/2009,67,121,69,86,121,73.2,69.2,6/24/2009,26.975
5/31/2009,61,114,75,88,113,67.7,69.4,5/27/2009,51.6325
4/30/2009,70,116,54,81,105,68.3,63.1,4/29/2009,44.045
3/31/2009,64,104,44,63,98,63.3,53.5,3/4/2009,16.025
2/28/2009,65,103,31,66,103,65.5,50.5,2/4/2009,20.315
1/31/2009,70,114,47,69,101,66.5,57.8,1/7/2009,23.8725
12/31/2008,62,109,39,66,116,69.5,54.0,12/10/2008,16.145
11/30/2008,59,107,42,65,88,57.5,53.9,11/12/2008,11.5225
10/31/2008,60,106,49,71,89,58.4,57.0,10/15/2008,11.4975
9/30/2008,86,120,65,83,107,75.0,67.2,9/17/2008,12.125
8/31/2008,72,105,52,72,110,71.0,57.9,8/21/2008,32.0075
7/31/2008,73,105,42,65,115,73.1,53.5,7/23/2008,19.485
6/30/2008,69,96,38,59,104,67.6,49.2,6/25/2008,18.07
5/31/2008,80,98,36,68,109,73.3,51.1,5/28/2008,52.0775
4/30/2008,86,100,40,71,112,77.0,53.3,4/2/2008,49.53
3/31/2008,93,112,46,81,124,84.2,60.1,3/5/2008,38.5775
2/29/2008,94,112,54,83,123,83.8,62.4,2/6/2008,23.4625
1/31/2008,98,116,68,88,146,94.4,68.1,1/9/2008,29.9775
12/31/2007,98,112,68,81,137,91.0,65.6,12/12/2007,72.045
11/30/2007,101,115,73,76,136,91.5,66.2,11/14/2007,59.9725
10/31/2007,111,119,78,84,142,97.6,70.1,10/17/2007,76.4325
9/30/2007,109,119,82,96,144,97.9,74.1,9/19/2007,70.695
8/31/2007,103,120,87,88,152,98.4,73.7,8/22/2007,30.565
7/31/2007,115,125,105,96,156,104.5,81.5,7/25/2007,36.1625
6/30/2007,110,117,94,88,154,101.9,74.7,6/27/2007,66.7025
5/31/2007,113,125,97,89,160,105.1,77.6,5/30/2007,63.1725
4/30/2007,119,127,87,90,152,104.6,75.9,4/4/2007,58.6325
3/31/2007,111,126,95,94,157,103.5,78.7,3/7/2007,45.6725
2/28/2007,119,122,106,98,158,106.7,81.5,2/7/2007,81.025
1/31/2007,123,127,118,107,166,111.3,87.6,1/10/2007,74.2775
12/31/2006,119,124,105,97,161,108.1,81.2,12/13/2006,92.7825
11/30/2006,119,125,112,97,156,106.0,83.2,11/15/2006,80.4825
10/31/2006,118,131,113,97,160,107.3,84.8,10/18/2006,79.8725
9/30/2006,99,122,99,92,151,96.6,78.2,9/20/2006,64.4225
8/31/2006,109,112,75,84,160,103.8,68.0,8/23/2006,44.845
7/31/2006,110,122,87,80,158,103.5,72.5,7/26/2006,36.3075
